o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.75,0.79,0.79,0.74,0.36,0.4,7.0,7.0,0.08,0.0,0.21,0.07,2.0,N
PICKUP PLACE_0_0 KEY_0,0.86,0.25,0.82,0.29,0.27,0.41,8.0,7.0,0.21,0.0,0.31,0.14,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.78,0.32,0.68,0.31,0.32,0.41,8.0,7.0,0.14,0.0,0.31,0.07,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.64,0.7,0.61,0.64,0.3,0.3,9.0,9.0,0.25,0.25,0.33,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.4,0.67,0.35,0.58,0.34,0.32,9.0,10.0,0.31,0.33,0.44,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.45,0.59,0.46,0.54,0.18,0.17,11.0,12.0,0.4,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.29,0.3,0.28,0.35,0.29,0.27,11.0,12.0,0.45,0.45,0.55,0.54,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.31,0.29,0.36,0.35,0.29,0.27,11.0,12.0,0.5,0.5,0.59,0.58,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.22,0.14,0.19,0.18,0.29,0.27,11.0,12.0,0.45,0.55,0.5,0.5,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.13,0.12,0.17,0.17,0.25,0.24,13.0,14.0,0.58,0.65,0.54,0.68,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.12,0.12,0.15,0.15,0.24,0.23,14.0,15.0,0.54,0.68,0.57,0.73,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.12,0.15,0.15,0.24,0.22,14.0,15.0,0.5,0.57,0.57,0.6,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.18,0.12,0.21,0.21,0.32,0.3,14.0,15.0,0.54,0.57,0.57,0.6,1.0,Y
MOVE PLACE_1_3 PLACE_0_3,0.11,0.2,0.2,0.21,0.29,0.3,14.0,15.0,0.57,0.43,0.62,0.47,2.0,N
