o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.03,0.14,1.3900000000000001,10,8,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.04,0.03,1.3399999999999999,10,11,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.11,0.02,1.42,10,10,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.07,0.02,1.55,10,10,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.07,0.02,1.55,10,10,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.18,0.04,1.64,8,10,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.1,0.02,1.58,9,11,0.33,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.1,0.06,1.54,10,12,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.12,0.01,1.44,8,11,0.33,N
MOVE PLACE_2_3 PLACE_1_3,0.33,1.0,0.0,2.33,0,-1,0.33,Y
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
