o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.22,0.38,0.36,0.37,0.34,7.0,8.0,0.08,0.21,0.21,0.25,2.0,N
PICKUP PLACE_0_0 KEY_1,0.3,0.32,0.39,0.39,0.33,0.28,8.0,9.0,0.21,0.31,0.31,0.33,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.73,0.68,0.68,0.65,0.28,0.2,9.0,10.0,0.31,0.39,0.39,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.3,0.25,0.28,0.32,0.3,0.26,9.0,10.0,0.25,0.44,0.39,0.45,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.57,0.53,0.5,0.52,0.29,0.21,10.0,11.0,0.33,0.45,0.45,0.5,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.17,0.2,0.23,0.31,0.24,10.0,11.0,0.39,0.45,0.5,0.55,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.23,0.15,0.2,0.19,0.31,0.29,10.0,11.0,0.33,0.5,0.4,0.59,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.31,0.15,0.28,0.23,0.31,0.29,10.0,11.0,0.28,0.4,0.4,0.45,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.29,0.16,0.27,0.29,0.38,0.33,10.0,11.0,0.33,0.4,0.4,0.45,1.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.07,0.14,0.28,0.29,0.31,0.38,10.0,11.0,0.45,0.3,0.5,0.36,2.0,N
