o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.04,0.02,1.52,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.08,0.03,1.5499999999999998,7,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.13,0.03,1.43,7,9,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.27,0.05,1.55,6,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.12,0.09,1.36,7,8,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.09,0.13,1.46,8,8,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.07,0.12,1.4500000000000002,10,9,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.08,0.3,1.2799999999999998,10,7,0.0,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
