o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.22,0.38,0.36,0.37,0.34,7.0,8.0,0.08,0.21,0.21,0.25,2.0,N
PICKUP PLACE_0_0 KEY_1,0.3,0.32,0.39,0.39,0.33,0.28,8.0,9.0,0.21,0.31,0.31,0.33,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.27,0.33,0.35,0.33,0.28,8.0,9.0,0.29,0.38,0.38,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.62,0.59,0.56,0.59,0.29,0.25,9.0,10.0,0.25,0.39,0.39,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.18,0.17,0.24,0.26,0.34,0.26,9.0,10.0,0.31,0.39,0.44,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.29,0.39,0.23,0.37,0.29,0.29,11.0,11.0,0.45,0.4,0.55,0.5,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.27,0.23,0.2,0.24,0.27,0.3,12.0,11.0,0.5,0.25,0.58,0.36,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.14,0.22,0.2,0.24,0.27,0.38,12.0,11.0,0.5,0.3,0.58,0.41,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.15,0.14,0.2,0.27,0.27,0.38,12.0,11.0,0.45,0.35,0.5,0.45,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.25,0.29,0.23,0.27,0.35,0.38,12.0,11.0,0.41,0.2,0.5,0.27,2.0,N
