o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.06,0.01,1.38,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.13,0.01,1.45,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.2,0.04,1.66,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.06,1.37,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.17,0.08,1.42,4,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.17,0.17,1.33,3,5,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.12,0.25,1.37,4,4,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.12,0.25,1.37,5,3,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.5,1.0,-1,2,0.0,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
