o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.06,0.01,1.38,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.13,0.01,1.45,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.2,0.04,1.66,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.06,1.37,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.17,0.08,1.42,4,6,0.0,N
MOVE PLACE_1_0 PLACE_1_1,0.5,0.25,0.06,1.69,3,7,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.5,0.25,0.06,1.69,2,8,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.33,0.0,1.6600000000000001,1,-1,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
