o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.06,0.01,1.38,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.08,0.03,1.5499999999999998,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.2,0.04,1.66,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.06,1.37,5,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.11,0.09,1.35,6,7,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.09,0.13,1.46,7,7,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.06,0.13,1.4300000000000002,8,8,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.07,0.3,1.27,8,6,0.0,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
