o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.33,0.22,0.38,0.36,0.36,0.32,7.0,8.0,0.17,0.21,0.21,0.25,2.0,N
PICKUP PLACE_0_0 KEY_0,0.3,0.32,0.39,0.39,0.33,0.28,8.0,9.0,0.21,0.31,0.31,0.33,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.73,0.68,0.68,0.65,0.28,0.2,9.0,10.0,0.31,0.39,0.39,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.3,0.25,0.28,0.32,0.3,0.26,9.0,10.0,0.25,0.44,0.39,0.45,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.57,0.53,0.5,0.52,0.29,0.21,10.0,11.0,0.33,0.45,0.45,0.5,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.17,0.2,0.23,0.31,0.24,10.0,11.0,0.39,0.45,0.5,0.55,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.27,0.37,0.2,0.33,0.27,0.27,12.0,12.0,0.5,0.45,0.58,0.54,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.25,0.21,0.18,0.21,0.25,0.28,13.0,12.0,0.54,0.32,0.62,0.42,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.13,0.2,0.18,0.21,0.25,0.35,13.0,12.0,0.54,0.36,0.62,0.46,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.14,0.13,0.18,0.24,0.25,0.35,13.0,12.0,0.5,0.41,0.54,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.24,0.27,0.21,0.24,0.33,0.35,13.0,12.0,0.46,0.27,0.54,0.33,2.0,N
