o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.29,0.75,0.36,0.79,0.5,0.36,5.0,7.0,0.0,0.08,0.0,0.21,0.5,N
PICKUP PLACE_0_0 KEY_0,0.25,0.86,0.31,0.82,0.45,0.27,6.0,8.0,0.0,0.21,0.25,0.31,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.78,0.26,0.68,0.41,0.32,7.0,8.0,0.08,0.14,0.29,0.31,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.22,0.64,0.26,0.61,0.4,0.3,7.0,9.0,0.0,0.25,0.07,0.33,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.36,0.4,0.3,0.35,0.5,0.34,7.0,9.0,0.0,0.31,0.14,0.44,0.75,N
MOVE PLACE_1_0 PLACE_2_0,0.18,0.45,0.24,0.46,0.34,0.18,9.0,11.0,0.38,0.4,0.33,0.5,0.75,N
MOVE PLACE_2_0 PLACE_3_0,0.15,0.47,0.2,0.42,0.29,0.15,11.0,13.0,0.5,0.54,0.59,0.58,0.75,N
MOVE PLACE_3_0 PLACE_3_1,0.07,0.55,0.19,0.52,0.25,0.21,13.0,14.0,0.58,0.58,0.62,0.61,0.75,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.34,0.38,0.3,0.34,0.24,0.24,14.0,14.0,0.54,0.54,0.61,0.61,0.75,N
MOVE PLACE_3_1 PLACE_3_2,0.43,0.12,0.39,0.14,0.13,0.24,16.0,14.0,0.57,0.58,0.62,0.64,0.75,N
MOVE PLACE_3_2 PLACE_3_3,0.23,0.12,0.26,0.14,0.21,0.24,16.0,14.0,0.6,0.54,0.66,0.57,0.75,N
MOVE PLACE_3_3 PLACE_2_3,0.23,0.24,0.27,0.14,0.21,0.24,16.0,14.0,0.63,0.5,0.69,0.57,0.75,N
MOVE PLACE_2_3 PLACE_1_3,0.11,0.22,0.16,0.2,0.21,0.32,16.0,14.0,0.57,0.54,0.62,0.57,0.75,N
