o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,4,10,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.04,1.35,5,11,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.15,0.07,1.41,4,10,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.05,0.13,1.25,7,10,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.01,0.07,1.44,9,10,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.1,0.15,1.28,7,12,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.08,0.14,1.27,8,9,0.4,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.14,0.27,1.87,9,10,0.4,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.14,0.27,1.37,8,9,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.12,0.21,1.24,6,6,0.4,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
