o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.02,0.05,1.3,5,10,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.03,0.09,1.27,4,9,0.6,N
PICKUP PLACE_0_0 KEY_1,0.5,0.08,0.14,1.44,3,9,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.23,1.21,2,7,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.04,0.13,1.24,6,8,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.04,0.12,1.42,6,7,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.04,0.12,1.42,6,7,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.08,0.23,1.35,5,6,0.4,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.16,1.3399999999999999,-1,5,0.4,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.16,1.3399999999999999,-1,4,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.21,1.12,-1,3,0.4,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
