o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.02,0.05,1.3,5,10,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.03,0.09,1.27,4,9,0.6,N
PICKUP PLACE_0_0 KEY_1,0.5,0.08,0.14,1.44,3,9,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.23,1.21,2,7,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.33,0.12,1.54,1,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.17,0.27,1.23,2,6,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.0,0.18,1.32,-1,4,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.0,0.24,1.09,-1,3,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.0,0.21,1.12,-1,3,0.4,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,0.25,1.75,-1,3,0.4,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.25,1.25,-1,2,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.33,1.0,-1,1,0.4,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
