o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.29,0.75,0.36,0.79,0.5,0.36,5.0,7.0,0.0,0.08,0.0,0.21,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.29,0.71,0.36,0.7,0.5,0.36,5.0,7.0,0.0,0.08,0.0,0.14,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.41,0.4,0.4,0.31,0.53,0.41,5.0,7.0,0.0,0.08,0.0,0.21,0.75,N
MOVE PLACE_1_0 PLACE_2_0,0.22,0.52,0.31,0.58,0.4,0.21,7.0,9.0,0.17,0.25,0.36,0.39,0.75,N
MOVE PLACE_2_0 PLACE_3_0,0.18,0.53,0.25,0.51,0.34,0.18,9.0,11.0,0.38,0.45,0.5,0.5,0.75,N
MOVE PLACE_3_0 PLACE_3_1,0.08,0.61,0.23,0.62,0.29,0.24,11.0,12.0,0.5,0.41,0.45,0.46,0.75,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.39,0.38,0.35,0.33,0.27,0.27,12.0,12.0,0.45,0.45,0.54,0.54,0.75,N
MOVE PLACE_3_1 PLACE_3_2,0.44,0.14,0.45,0.17,0.14,0.27,14.0,12.0,0.5,0.5,0.57,0.58,0.75,N
MOVE PLACE_3_2 PLACE_3_3,0.26,0.14,0.31,0.17,0.24,0.27,14.0,12.0,0.54,0.45,0.61,0.5,0.75,N
MOVE PLACE_3_3 PLACE_2_3,0.25,0.27,0.31,0.17,0.24,0.27,14.0,12.0,0.58,0.41,0.64,0.5,0.75,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.25,0.19,0.24,0.24,0.35,14.0,12.0,0.5,0.45,0.57,0.5,0.75,N
