o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,4,10,0.6,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.06,1.5,4,9,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.08,0.06,1.35,4,10,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.03,0.09,1.27,8,10,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.03,0.09,1.44,8,8,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.03,0.09,1.44,8,8,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.06,0.17,1.3900000000000001,7,8,0.4,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.03,0.11,1.42,9,8,0.4,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.08,0.16,1.42,10,9,0.4,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.01,0.11,1.23,9,7,0.4,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
