o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.29,0.75,0.36,0.79,0.5,0.36,5.0,7.0,0.0,0.08,0.0,0.21,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.29,0.71,0.36,0.7,0.5,0.36,5.0,7.0,0.0,0.08,0.0,0.14,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.41,0.4,0.4,0.31,0.53,0.41,5.0,7.0,0.0,0.08,0.0,0.21,0.75,N
MOVE PLACE_1_0 PLACE_2_0,0.22,0.52,0.31,0.58,0.4,0.21,7.0,9.0,0.17,0.25,0.36,0.39,0.75,N
MOVE PLACE_2_0 PLACE_2_1,0.59,0.33,0.59,0.37,0.34,0.33,9.0,9.0,0.31,0.38,0.44,0.5,0.75,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.36,0.28,0.47,0.34,0.34,9.0,9.0,0.38,0.38,0.5,0.5,0.75,N
MOVE PLACE_2_2 PLACE_2_3,0.3,0.26,0.43,0.25,0.29,0.34,11.0,9.0,0.45,0.31,0.55,0.39,0.75,N
MOVE PLACE_2_3 PLACE_3_3,0.2,0.15,0.27,0.22,0.22,0.29,13.0,11.0,0.54,0.5,0.62,0.45,0.75,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.24,0.14,0.33,0.19,0.24,0.27,14.0,12.0,0.54,0.45,0.61,0.5,0.75,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.14,0.33,0.19,0.24,0.27,14.0,12.0,0.58,0.41,0.64,0.5,0.75,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.15,0.2,0.26,0.24,0.35,14.0,12.0,0.5,0.45,0.57,0.5,0.75,N
