o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.33,0.31,0.31,0.41,0.36,6.0,7.0,0.2,0.08,0.17,0.21,0.25,N
PICKUP PLACE_0_0 KEY_1,0.25,0.86,0.31,0.82,0.45,0.27,6.0,8.0,0.0,0.21,0.25,0.31,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.69,0.31,0.7,0.45,0.33,6.0,8.0,0.0,0.14,0.0,0.25,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.37,0.36,0.35,0.28,0.5,0.37,6.0,8.0,0.0,0.21,0.0,0.38,0.75,N
MOVE PLACE_1_0 PLACE_2_0,0.2,0.48,0.28,0.52,0.37,0.19,8.0,10.0,0.29,0.33,0.25,0.45,0.75,N
MOVE PLACE_2_0 PLACE_2_1,0.55,0.31,0.54,0.33,0.31,0.31,10.0,10.0,0.39,0.44,0.5,0.55,0.75,N
MOVE PLACE_2_1 PLACE_2_2,0.31,0.33,0.25,0.42,0.31,0.31,10.0,10.0,0.44,0.44,0.55,0.55,0.75,N
MOVE PLACE_2_2 PLACE_2_3,0.28,0.28,0.39,0.22,0.27,0.31,12.0,10.0,0.5,0.39,0.58,0.45,0.75,N
MOVE PLACE_2_3 PLACE_3_3,0.19,0.14,0.25,0.2,0.2,0.27,14.0,12.0,0.58,0.55,0.64,0.5,0.75,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.23,0.13,0.31,0.17,0.22,0.25,15.0,13.0,0.57,0.58,0.63,0.62,0.75,N
MOVE PLACE_3_3 PLACE_2_3,0.22,0.13,0.31,0.17,0.22,0.25,15.0,13.0,0.61,0.46,0.67,0.54,0.75,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.19,0.19,0.24,0.23,0.33,15.0,13.0,0.57,0.5,0.6,0.54,0.75,N
