o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.33,0.29,0.31,0.41,0.36,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.86,0.29,0.82,0.41,0.27,7.0,8.0,0.0,0.21,0.14,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.64,0.69,0.67,0.7,0.26,0.33,9.0,8.0,0.38,0.14,0.39,0.25,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.35,0.36,0.47,0.5,0.23,0.28,10.0,9.0,0.39,0.38,0.45,0.44,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.29,0.36,0.38,0.4,0.17,0.23,12.0,11.0,0.5,0.45,0.54,0.5,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.57,0.61,0.61,0.63,0.22,0.24,13.0,12.0,0.46,0.41,0.46,0.46,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.25,0.27,0.24,0.3,0.25,0.27,13.0,12.0,0.46,0.45,0.5,0.54,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.13,0.14,0.21,0.18,0.25,0.27,13.0,12.0,0.54,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.13,0.14,0.17,0.18,0.25,0.27,13.0,12.0,0.62,0.55,0.69,0.58,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.13,0.27,0.17,0.18,0.25,0.27,13.0,12.0,0.58,0.5,0.58,0.54,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.19,0.25,0.24,0.25,0.29,0.31,13.0,12.0,0.5,0.45,0.5,0.5,2.0,N
