o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.79,0.75,0.74,0.79,0.4,0.36,7.0,7.0,0.0,0.08,0.07,0.21,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.69,0.71,0.74,0.7,0.33,0.36,8.0,7.0,0.21,0.08,0.19,0.14,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.36,0.4,0.53,0.57,0.28,0.31,9.0,8.0,0.38,0.21,0.39,0.25,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.32,0.38,0.42,0.44,0.18,0.25,11.0,10.0,0.45,0.39,0.45,0.45,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.6,0.65,0.65,0.68,0.24,0.26,12.0,11.0,0.41,0.35,0.42,0.41,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.27,0.29,0.24,0.33,0.27,0.29,12.0,11.0,0.41,0.4,0.46,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.14,0.15,0.21,0.2,0.27,0.29,12.0,11.0,0.5,0.45,0.58,0.55,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.14,0.15,0.19,0.2,0.27,0.29,12.0,11.0,0.59,0.45,0.67,0.5,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.14,0.29,0.19,0.2,0.27,0.29,12.0,11.0,0.5,0.45,0.5,0.5,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.14,0.22,0.26,0.27,0.31,0.33,12.0,11.0,0.45,0.4,0.5,0.45,2.0,N
