o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.13,0.03,1.43,5,10,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.25,0.02,1.56,4,10,0.33,N
PICKUP PLACE_0_0 KEY_1,0.5,0.5,0.05,1.95,3,9,0.33,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.33,0.18,1.48,4,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.0,0.13,1.2,-1,8,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.0,0.11,1.3900000000000001,-1,7,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.0,0.11,1.3900000000000001,-1,7,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.22,1.28,-1,6,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.16,1.3399999999999999,-1,5,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.16,1.3399999999999999,-1,4,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.21,1.12,-1,3,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
