o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.13,0.03,1.43,5,10,0.67,N
PICKUP PLACE_0_0 KEY_1,0.5,0.25,0.05,1.7,4,9,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.06,1.38,6,9,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.17,0.15,1.35,5,8,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.05,0.2,1.1800000000000002,9,8,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.04,0.1,1.44,10,9,0.33,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.15,0.25,1.23,12,11,0.33,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.12,0.19,1.26,11,10,0.33,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.38,0.48,1.9,11,10,0.33,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.38,0.48,1.4,10,9,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.12,0.24,1.21,9,7,0.33,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
