o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.13,0.03,1.43,5,10,0.67,N
PICKUP PLACE_0_0 KEY_1,0.5,0.25,0.05,1.7,4,9,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.06,1.38,6,9,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.04,0.09,1.28,9,10,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.04,0.09,1.4500000000000002,9,8,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.04,0.09,1.4500000000000002,9,9,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.08,0.17,1.41,9,8,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.04,0.1,1.44,10,8,0.33,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.12,0.16,1.46,11,10,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.02,0.11,1.24,10,7,0.33,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
