o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.79,0.75,0.74,0.79,0.4,0.36,7.0,7.0,0.0,0.08,0.07,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.25,0.86,0.29,0.82,0.41,0.27,7.0,8.0,0.0,0.21,0.14,0.31,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.32,0.78,0.31,0.68,0.41,0.32,7.0,8.0,0.0,0.14,0.07,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.7,0.64,0.64,0.61,0.3,0.3,9.0,9.0,0.25,0.25,0.39,0.33,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.65,0.33,0.62,0.42,0.18,0.26,11.0,10.0,0.45,0.44,0.5,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.63,0.37,0.54,0.35,0.15,0.19,13.0,12.0,0.5,0.5,0.54,0.54,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.55,0.58,0.55,0.57,0.21,0.22,14.0,13.0,0.54,0.46,0.57,0.5,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.27,0.26,0.26,0.27,0.24,0.25,14.0,13.0,0.5,0.5,0.57,0.58,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.12,0.13,0.19,0.16,0.24,0.25,14.0,13.0,0.54,0.54,0.61,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.13,0.15,0.16,0.24,0.25,14.0,13.0,0.65,0.54,0.71,0.58,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.25,0.15,0.16,0.24,0.25,14.0,13.0,0.62,0.54,0.61,0.58,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.18,0.24,0.21,0.22,0.28,0.29,14.0,13.0,0.54,0.5,0.57,0.54,2.0,N
