o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.12,0.04,1.58,5,9,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.04,1.35,7,10,0.67,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.08,0.1,1.31,6,9,0.67,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.03,0.13,1.23,10,9,0.67,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.02,0.15,1.37,10,8,0.67,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.02,0.15,1.37,10,8,0.67,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.03,0.11,1.42,9,8,0.67,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.03,0.11,1.42,10,8,0.67,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.19,0.24,1.45,11,11,0.67,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.06,0.13,1.26,10,9,0.67,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.67,N
