o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.33,0.29,0.31,0.41,0.36,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.4,0.33,0.29,0.45,0.4,6.0,7.0,0.0,0.0,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.32,0.78,0.31,0.68,0.41,0.32,7.0,8.0,0.0,0.14,0.07,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.7,0.64,0.64,0.61,0.3,0.3,9.0,9.0,0.25,0.25,0.39,0.33,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.67,0.4,0.58,0.35,0.32,0.34,10.0,9.0,0.33,0.31,0.45,0.44,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.59,0.45,0.54,0.46,0.17,0.18,12.0,11.0,0.41,0.4,0.5,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.53,0.47,0.47,0.42,0.14,0.15,14.0,13.0,0.54,0.54,0.57,0.58,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.52,0.55,0.52,0.52,0.2,0.21,15.0,14.0,0.57,0.58,0.6,0.61,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.4,0.38,0.39,0.34,0.22,0.24,15.0,14.0,0.54,0.54,0.6,0.61,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.12,0.12,0.17,0.14,0.23,0.24,15.0,14.0,0.57,0.58,0.63,0.64,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.12,0.14,0.14,0.23,0.24,15.0,14.0,0.68,0.54,0.73,0.57,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.24,0.14,0.14,0.22,0.24,15.0,14.0,0.57,0.5,0.6,0.57,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.22,0.19,0.2,0.3,0.32,15.0,14.0,0.57,0.54,0.6,0.57,2.0,N
