o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.13,0.03,1.43,5,10,0.67,N
PICKUP PLACE_0_0 KEY_1,0.5,0.25,0.05,1.7,4,9,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.5,0.05,1.95,3,9,0.33,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.33,0.18,1.48,4,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.0,0.19,1.1400000000000001,-1,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.0,0.3,1.03,-1,6,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.0,0.27,1.23,-1,6,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.0,0.27,1.23,-1,6,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.25,1.25,-1,4,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.25,1.25,-1,3,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.25,1.25,-1,2,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.33,1.0,-1,1,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
