o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.12,0.04,1.58,5,9,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.04,1.35,7,10,0.67,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.02,0.06,1.29,10,11,0.67,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.02,0.05,1.47,10,10,0.67,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.02,0.05,1.47,10,10,0.67,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.04,0.1,1.44,10,10,0.67,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.02,0.05,1.47,11,10,0.67,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.06,0.08,1.48,12,12,0.67,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.01,0.06,1.28,11,10,0.67,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.67,N
