o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.75,0.33,0.79,0.38,0.36,0.36,7.0,7.0,0.08,0.17,0.21,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.86,0.3,0.82,0.39,0.27,0.33,8.0,8.0,0.21,0.21,0.31,0.31,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.78,0.73,0.68,0.68,0.32,0.28,8.0,9.0,0.14,0.31,0.31,0.39,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.64,0.3,0.61,0.28,0.3,0.3,9.0,9.0,0.25,0.25,0.33,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.18,0.42,0.24,0.26,0.33,10.0,9.0,0.44,0.31,0.5,0.44,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.37,0.29,0.35,0.19,0.19,0.29,12.0,11.0,0.5,0.45,0.54,0.55,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.58,0.27,0.57,0.23,0.22,0.27,13.0,12.0,0.46,0.45,0.5,0.5,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.14,0.27,0.2,0.25,0.27,13.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.13,0.15,0.16,0.2,0.25,0.27,13.0,12.0,0.54,0.45,0.62,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.13,0.26,0.16,0.23,0.25,0.31,13.0,12.0,0.54,0.41,0.58,0.5,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.25,0.25,0.16,0.23,0.25,0.35,13.0,12.0,0.54,0.45,0.58,0.5,2.0,N
