o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.08,0.04,1.54,6,8,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.07,0.04,1.3599999999999999,7,9,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.17,0.11,1.3900000000000001,6,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.06,0.08,1.31,8,9,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.03,0.07,1.46,11,10,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.03,0.08,1.4500000000000002,11,9,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.04,0.2,1.34,10,8,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.04,0.2,1.34,11,9,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
