o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.1,0.03,1.4,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.17,0.05,1.62,5,8,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.5,0.1,1.9,4,7,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.0,0.06,1.27,-1,6,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.33,0.21,1.4500000000000002,3,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.0,0.17,1.16,-1,5,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.0,0.19,1.31,-1,5,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.0,0.19,1.31,-1,5,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.5,1.0,-1,3,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.5,1.0,-1,2,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
