o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.75,0.33,0.79,0.38,0.36,0.36,7.0,7.0,0.08,0.17,0.21,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.86,0.3,0.82,0.39,0.27,0.33,8.0,8.0,0.21,0.21,0.31,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.69,0.33,0.7,0.33,0.33,0.33,8.0,8.0,0.14,0.29,0.25,0.38,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.36,0.2,0.5,0.29,0.28,0.36,9.0,8.0,0.38,0.36,0.44,0.44,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.36,0.28,0.4,0.22,0.23,0.31,11.0,10.0,0.45,0.44,0.5,0.5,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.61,0.29,0.63,0.26,0.24,0.29,12.0,11.0,0.41,0.4,0.46,0.45,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.27,0.15,0.3,0.23,0.27,0.29,12.0,11.0,0.45,0.45,0.54,0.55,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.14,0.17,0.18,0.23,0.27,0.29,12.0,11.0,0.5,0.4,0.58,0.45,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.14,0.28,0.18,0.26,0.27,0.33,12.0,11.0,0.55,0.35,0.58,0.45,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.27,0.27,0.18,0.26,0.27,0.38,12.0,11.0,0.5,0.4,0.54,0.45,2.0,N
