o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.33,0.31,0.38,0.36,0.37,7.0,7.0,0.08,0.08,0.21,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.86,0.3,0.82,0.39,0.27,0.33,8.0,8.0,0.21,0.21,0.31,0.31,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.78,0.73,0.68,0.68,0.32,0.28,8.0,9.0,0.14,0.31,0.31,0.39,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.64,0.3,0.61,0.28,0.3,0.3,9.0,9.0,0.25,0.25,0.33,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.4,0.57,0.35,0.5,0.34,0.29,9.0,10.0,0.31,0.33,0.44,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.45,0.17,0.46,0.2,0.18,0.31,11.0,10.0,0.4,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.47,0.27,0.42,0.2,0.15,0.27,13.0,12.0,0.54,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.55,0.25,0.52,0.18,0.21,0.25,14.0,13.0,0.58,0.54,0.61,0.62,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.38,0.13,0.34,0.18,0.24,0.25,14.0,13.0,0.54,0.54,0.61,0.62,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.12,0.14,0.14,0.18,0.24,0.25,14.0,13.0,0.58,0.5,0.64,0.54,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.24,0.14,0.21,0.24,0.33,14.0,13.0,0.54,0.46,0.57,0.54,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.24,0.14,0.21,0.24,0.33,14.0,13.0,0.5,0.5,0.57,0.54,2.0,N
