o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.08,0.04,1.54,6,8,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.17,0.05,1.62,5,8,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.06,1.38,6,8,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.1,0.06,1.37,7,9,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.06,0.06,1.5,9,11,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.06,0.06,1.5,9,10,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.1,0.14,1.46,9,9,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.1,0.14,1.46,10,10,0.33,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.33,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
