ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.29,0.22,0.46,0.36,0.46,0.34,5.0,8.0,0.0,0.21,0.0,0.25,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.32,0.36,0.39,0.42,0.28,6.0,9.0,0.2,0.31,0.08,0.33,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.68,0.29,0.65,0.4,0.2,7.0,10.0,0.17,0.39,0.14,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.22,0.25,0.29,0.32,0.4,0.26,7.0,10.0,0.17,0.44,0.14,0.45,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.2,0.53,0.25,0.52,0.37,0.21,8.0,11.0,0.14,0.45,0.25,0.5,2.0,N
MOVE PLACE_1_0 PLACE_1_1,0.17,0.15,0.22,0.22,0.31,0.29,10.0,11.0,0.44,0.45,0.5,0.55,2.0,N
MOVE PLACE_1_1 PLACE_1_2,0.15,0.09,0.19,0.18,0.27,0.29,12.0,11.0,0.5,0.5,0.58,0.55,2.0,N
MOVE PLACE_1_2 PLACE_1_3,0.44,0.15,0.48,0.18,0.17,0.29,14.0,11.0,0.54,0.5,0.61,0.55,2.0,N
MOVE PLACE_1_3 PLACE_2_3,0.21,0.15,0.21,0.28,0.24,0.33,14.0,11.0,0.58,0.4,0.64,0.45,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.31,0.14,0.29,0.28,0.22,0.38,15.0,11.0,0.61,0.3,0.67,0.36,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.22,0.46,0.36,0.46,0.34,5.0,8.0,0.0,0.21,0.0,0.25,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.32,0.36,0.39,0.42,0.28,6.0,9.0,0.2,0.31,0.08,0.33,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.27,0.36,0.35,0.45,0.28,6.0,9.0,0.0,0.38,0.0,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.22,0.59,0.29,0.59,0.4,0.25,7.0,10.0,0.17,0.39,0.14,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.24,0.17,0.33,0.26,0.45,0.26,7.0,10.0,0.0,0.39,0.14,0.5,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.17,0.17,0.3,0.22,0.34,0.31,9.0,10.0,0.25,0.44,0.33,0.55,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.15,0.17,0.2,0.26,0.29,0.31,11.0,10.0,0.5,0.33,0.59,0.4,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.17,0.17,0.25,0.33,0.25,0.36,13.0,10.0,0.54,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.33,0.15,0.33,0.33,0.24,0.4,14.0,10.0,0.58,0.22,0.64,0.3,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.22,0.46,0.36,0.46,0.34,5.0,8.0,0.0,0.21,0.0,0.25,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.32,0.36,0.39,0.42,0.28,6.0,9.0,0.2,0.31,0.08,0.33,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.68,0.29,0.65,0.4,0.2,7.0,10.0,0.17,0.39,0.14,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.22,0.25,0.29,0.32,0.4,0.26,7.0,10.0,0.17,0.44,0.14,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.22,0.22,0.33,0.26,0.45,0.26,7.0,10.0,0.0,0.33,0.07,0.4,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.22,0.53,0.4,0.5,0.5,0.29,7.0,11.0,0.0,0.4,0.0,0.45,1.0,Y
MOVE PLACE_3_0 PLACE_3_1,0.0,0.23,0.36,0.24,0.39,0.3,7.0,11.0,0.25,0.25,0.28,0.32,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.04,0.22,0.32,0.24,0.4,0.38,7.0,11.0,0.28,0.3,0.4,0.41,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.13,0.14,0.29,0.27,0.35,0.38,7.0,11.0,0.36,0.35,0.46,0.45,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,0.29,0.21,0.27,0.24,0.38,7.0,11.0,0.42,0.2,0.5,0.27,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.22,0.46,0.36,0.46,0.34,5.0,8.0,0.0,0.21,0.0,0.25,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.71,0.33,0.64,0.45,0.24,6.0,9.0,0.2,0.31,0.08,0.33,2.0,N
PICKUP PLACE_0_0 KEY_1,0.22,0.68,0.29,0.65,0.4,0.2,7.0,10.0,0.17,0.39,0.14,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.22,0.25,0.29,0.32,0.4,0.26,7.0,10.0,0.17,0.44,0.14,0.45,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.2,0.53,0.25,0.52,0.37,0.21,8.0,11.0,0.14,0.45,0.25,0.5,2.0,N
