ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_3 PLACE_2_4,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.2,0.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.0,0.0,0.17,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.59,0.44,0.67,0.4,0.45,0.45,6.0,6.0,0.0,0.0,0.25,0.25,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.44,0.44,0.4,0.4,0.45,0.44,6.0,6.0,0.1,0.1,0.33,0.33,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.47,0.44,0.62,0.4,0.36,0.44,8.0,6.0,0.29,0.0,0.44,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.2,0.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.67,0.44,0.73,0.5,0.29,0.29,6.0,6.0,0.0,0.0,0.17,0.17,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.6,0.44,0.73,0.4,0.45,0.45,6.0,6.0,0.0,0.0,0.25,0.25,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.44,0.44,0.4,0.4,0.45,0.44,6.0,6.0,0.1,0.1,0.33,0.33,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.47,0.44,0.62,0.4,0.36,0.44,8.0,6.0,0.29,0.0,0.44,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.2,0.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.0,0.0,0.17,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.57,0.54,0.6,0.73,0.67,0.44,4.0,6.0,0.0,0.0,0.0,0.25,1.0,Y
MOVE PLACE_2_6 PLACE_3_6,0.44,0.44,0.4,0.4,0.45,0.44,4.0,6.0,0.1,0.1,0.33,0.33,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.4,0.44,0.5,0.4,0.36,0.44,4.0,6.0,0.29,0.0,0.44,0.0,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.8,0.5,0.83,0.6,0.29,0.29,6.0,6.0,0.2,0.0,0.42,0.08,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.67,0.47,0.73,0.5,0.29,0.29,6.0,6.0,0.0,0.0,0.17,0.17,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.59,0.44,0.73,0.4,0.45,0.45,6.0,6.0,0.0,0.0,0.25,0.25,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.44,0.44,0.4,0.4,0.45,0.44,6.0,6.0,0.1,0.1,0.33,0.33,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.47,0.44,0.62,0.4,0.36,0.44,8.0,6.0,0.29,0.0,0.44,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.2,0.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.57,0.67,0.5,0.73,0.57,0.29,4.0,6.0,0.0,0.0,0.0,0.17,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.57,0.54,0.6,0.73,0.67,0.44,4.0,6.0,0.0,0.0,0.0,0.25,1.0,Y
MOVE PLACE_2_6 PLACE_2_7,0.44,0.44,0.4,0.4,0.45,0.44,4.0,6.0,0.1,0.1,0.33,0.33,2.0,N
MOVE PLACE_2_7 PLACE_3_7,0.4,0.44,0.46,0.4,0.36,0.44,4.0,6.0,0.29,0.0,0.44,0.0,2.0,N
