o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.29,0.22,0.46,0.36,0.46,0.34,5.0,8.0,0.0,0.21,0.0,0.25,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.32,0.36,0.39,0.42,0.28,6.0,9.0,0.2,0.31,0.08,0.33,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.27,0.36,0.35,0.45,0.28,6.0,9.0,0.0,0.38,0.0,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.22,0.59,0.29,0.59,0.4,0.25,7.0,10.0,0.17,0.39,0.14,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.24,0.17,0.33,0.26,0.45,0.26,7.0,10.0,0.0,0.39,0.14,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.27,0.39,0.4,0.37,0.5,0.29,7.0,11.0,0.0,0.4,0.0,0.5,1.0,Y
MOVE PLACE_3_0 PLACE_3_1,0.0,0.23,0.36,0.24,0.39,0.3,7.0,11.0,0.25,0.25,0.33,0.36,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.08,0.22,0.32,0.24,0.4,0.38,7.0,11.0,0.28,0.3,0.4,0.41,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.13,0.14,0.29,0.27,0.35,0.38,7.0,11.0,0.36,0.35,0.46,0.45,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.29,0.21,0.27,0.24,0.38,7.0,11.0,0.42,0.2,0.5,0.27,2.0,N
