o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.0,0.04,1.46,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.0,0.06,1.44,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.0,0.1,1.4,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.0,0.15,1.35,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.0,0.2,1.3,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.0,0.26,1.24,-1,5,NaN,N
MOVE PLACE_2_9 PLACE_2_10,0.5,0.0,0.3,1.2,-1,4,NaN,N
MOVE PLACE_2_10 PLACE_3_10,0.33,0.0,0.15,1.18,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.33,0.0,0.22,1.11,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_3_12,0.33,0.0,0.33,1.0,-1,1,NaN,N
MOVE PLACE_3_12 PLACE_4_12,1.0,0.0,1.0,1.0,-1,0,NaN,N
