o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.02,0.03,1.49,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.5,0.03,0.07,1.46,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.04,0.2,1.34,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.09,1.3,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.08,0.17,1.24,5,5,0.4,N
MOVE PLACE_1_0 PLACE_1_1,0.5,0.06,0.12,1.44,6,4,0.4,N
MOVE PLACE_1_1 PLACE_1_2,0.5,0.06,0.12,1.44,7,3,0.4,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.04,0.17,1.2,8,2,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.04,0.33,1.04,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,1.0,1.0,-1,0,0.4,N
