o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.1,0.22,0.25,0.36,0.31,0.34,9.0,8.0,0.25,0.21,0.28,0.25,0.25,N
PICKUP PLACE_0_0 KEY_1,0.11,0.32,0.25,0.39,0.31,0.28,9.0,9.0,0.25,0.31,0.22,0.33,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.68,0.25,0.65,0.28,0.2,10.0,10.0,0.22,0.39,0.35,0.4,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.25,0.22,0.32,0.31,0.26,10.0,10.0,0.33,0.44,0.45,0.45,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.23,0.53,0.22,0.52,0.3,0.21,11.0,11.0,0.35,0.45,0.45,0.5,0.5,N
MOVE PLACE_1_0 PLACE_2_0,0.15,0.17,0.22,0.23,0.3,0.24,11.0,11.0,0.4,0.45,0.5,0.55,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.14,0.37,0.24,0.33,0.3,0.27,11.0,12.0,0.25,0.45,0.36,0.54,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.21,0.25,0.21,0.38,0.28,11.0,12.0,0.3,0.32,0.41,0.42,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.14,0.2,0.28,0.21,0.38,0.35,11.0,12.0,0.35,0.36,0.45,0.46,0.75,N
MOVE PLACE_3_1 PLACE_3_2,0.27,0.13,0.3,0.24,0.38,0.35,11.0,12.0,0.2,0.41,0.27,0.5,1.0,Y
MOVE PLACE_3_2 PLACE_3_3,0.12,0.27,0.2,0.24,0.33,0.35,11.0,12.0,0.46,0.27,0.54,0.33,0.75,N
