o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.1,0.22,0.25,0.36,0.31,0.34,9.0,8.0,0.25,0.21,0.28,0.25,0.25,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.71,0.25,0.64,0.28,0.24,10.0,9.0,0.22,0.31,0.35,0.33,0.25,N
PICKUP PLACE_0_0 KEY_1,0.22,0.68,0.25,0.65,0.28,0.2,10.0,10.0,0.22,0.39,0.35,0.4,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.25,0.22,0.32,0.31,0.26,10.0,10.0,0.33,0.44,0.45,0.45,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.23,0.53,0.22,0.52,0.3,0.21,11.0,11.0,0.35,0.45,0.45,0.5,0.5,N
MOVE PLACE_1_0 PLACE_1_1,0.35,0.15,0.29,0.22,0.25,0.29,13.0,11.0,0.38,0.45,0.5,0.55,0.5,N
MOVE PLACE_1_1 PLACE_1_2,0.13,0.09,0.18,0.18,0.26,0.29,13.0,11.0,0.46,0.5,0.54,0.55,0.5,N
MOVE PLACE_1_2 PLACE_1_3,0.13,0.15,0.15,0.18,0.26,0.29,13.0,11.0,0.5,0.5,0.58,0.55,0.5,N
MOVE PLACE_1_3 PLACE_2_3,0.13,0.15,0.15,0.28,0.26,0.33,13.0,11.0,0.38,0.4,0.46,0.45,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.12,0.14,0.21,0.28,0.33,0.38,13.0,11.0,0.42,0.3,0.5,0.36,0.5,N
