o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.11,0.22,0.28,0.36,0.34,0.32,8.0,8.0,0.21,0.21,0.12,0.25,0.5,N
PICKUP PLACE_0_0 KEY_0,0.11,0.32,0.25,0.39,0.31,0.28,9.0,9.0,0.25,0.31,0.22,0.33,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.68,0.25,0.65,0.28,0.2,10.0,10.0,0.22,0.39,0.35,0.4,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.25,0.22,0.32,0.31,0.26,10.0,10.0,0.33,0.44,0.45,0.45,0.5,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.23,0.53,0.22,0.52,0.3,0.21,11.0,11.0,0.35,0.45,0.45,0.5,0.5,N
MOVE PLACE_1_0 PLACE_2_0,0.15,0.17,0.22,0.23,0.3,0.24,11.0,11.0,0.4,0.45,0.5,0.55,0.5,N
MOVE PLACE_2_0 PLACE_2_1,0.57,0.15,0.62,0.19,0.25,0.29,13.0,11.0,0.42,0.5,0.54,0.59,0.5,N
MOVE PLACE_2_1 PLACE_2_2,0.13,0.15,0.19,0.23,0.26,0.29,13.0,11.0,0.5,0.4,0.58,0.45,0.5,N
MOVE PLACE_2_2 PLACE_2_3,0.13,0.16,0.15,0.29,0.26,0.33,13.0,11.0,0.38,0.4,0.46,0.45,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.12,0.14,0.21,0.29,0.33,0.38,13.0,11.0,0.42,0.3,0.5,0.36,0.5,N
