o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.33,0.45,0.25,0.52,0.39,4.0,5.0,0.0,0.12,0.25,0.4,0.5,N
BOARD C2 L1,0.5,0.25,0.5,0.18,0.52,0.29,4.0,7.0,0.0,0.42,0.0,0.57,0.75,N
SAIL L1 L2,0.43,0.2,0.47,0.14,0.45,0.23,5.0,9.0,0.0,0.62,0.2,0.78,0.75,N
DEBARK C2 L2,0.33,0.17,0.29,0.13,0.35,0.19,7.0,11.0,0.42,0.4,0.57,0.55,0.5,N
SAIL L2 L1,0.24,0.14,0.25,0.08,0.27,0.21,9.0,13.0,0.56,0.38,0.5,0.58,0.5,N
BOARD C1 L1,0.28,0.08,0.25,0.08,0.21,0.16,11.0,13.0,0.55,0.58,0.64,0.62,0.5,N
SAIL L1 L4,0.15,0.08,0.24,0.08,0.2,0.16,12.0,13.0,0.59,0.75,0.67,0.85,0.5,N
DEBARK C1 L4,0.12,0.04,0.2,0.08,0.21,0.16,12.0,13.0,0.68,0.75,0.62,0.85,0.5,N
SAIL L4 L2,0.08,0.04,0.2,0.08,0.22,0.17,12.0,13.0,0.68,0.71,0.75,0.77,0.5,N
BOARD C2 L2,0.08,0.07,0.25,0.08,0.22,0.17,12.0,13.0,0.59,0.71,0.67,0.77,0.75,N
SAIL L2 L1,0.07,-0.08,0.24,0.12,0.21,0.2,13.0,13.0,0.62,0.75,0.69,0.77,0.75,N
DEBARK C2 L1,0.0,-0.04,0.16,0.12,0.18,0.2,15.0,13.0,0.75,0.67,0.8,0.69,0.5,N
