o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.29,0.45,0.28,0.43,0.33,5.0,6.0,0.12,0.4,0.4,0.67,0.5,N
SAIL L2 L1,0.43,0.29,0.42,0.23,0.45,0.34,5.0,6.0,0.12,0.3,0.4,0.5,0.5,N
BOARD C2 L1,0.43,0.22,0.47,0.17,0.45,0.26,5.0,8.0,0.0,0.5,0.2,0.62,0.75,N
SAIL L1 L2,0.29,0.18,0.44,0.11,0.39,0.21,6.0,10.0,0.1,0.67,0.33,0.8,0.75,N
DEBARK C2 L2,0.11,0.15,0.27,0.08,0.31,0.18,8.0,12.0,0.5,0.45,0.62,0.58,0.5,N
SAIL L2 L1,0.18,0.13,0.24,0.08,0.25,0.19,10.0,14.0,0.61,0.42,0.55,0.61,0.5,N
BOARD C1 L1,0.23,0.13,0.24,0.08,0.2,0.15,12.0,14.0,0.59,0.62,0.67,0.64,0.5,N
SAIL L1 L4,0.14,0.13,0.23,0.08,0.19,0.15,13.0,14.0,0.62,0.77,0.69,0.86,0.5,N
DEBARK C1 L4,0.14,0.13,0.19,0.08,0.2,0.15,13.0,14.0,0.71,0.77,0.65,0.86,0.5,N
SAIL L4 L2,0.07,0.07,0.19,0.08,0.21,0.16,13.0,14.0,0.71,0.73,0.77,0.79,0.5,N
BOARD C2 L2,0.07,0.07,0.24,0.08,0.21,0.16,13.0,14.0,0.62,0.73,0.69,0.79,0.75,N
SAIL L2 L1,0.07,0.0,0.23,0.11,0.2,0.19,14.0,14.0,0.65,0.77,0.71,0.79,0.75,N
DEBARK C2 L1,0.06,0.0,0.15,0.11,0.17,0.19,16.0,14.0,0.77,0.69,0.81,0.71,0.5,N
