o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.33,0.45,0.25,0.52,0.39,4.0,5.0,0.0,0.12,0.25,0.4,0.5,N
BOARD C2 L1,0.5,0.25,0.5,0.18,0.52,0.29,4.0,7.0,0.0,0.42,0.0,0.57,0.75,N
SAIL L1 L4,0.43,0.2,0.47,0.11,0.45,0.23,5.0,9.0,0.0,0.62,0.2,0.78,0.75,N
DEBARK C2 L4,0.2,0.17,0.29,0.09,0.35,0.19,7.0,11.0,0.42,0.35,0.57,0.55,0.5,N
SAIL L4 L1,0.27,0.15,0.25,0.08,0.27,0.18,9.0,12.0,0.56,0.41,0.5,0.58,0.5,N
BOARD C1 L1,0.31,0.15,0.25,0.08,0.21,0.18,11.0,12.0,0.55,0.73,0.64,0.83,0.5,N
SAIL L1 L4,0.17,0.15,0.21,0.08,0.24,0.18,11.0,12.0,0.6,0.68,0.59,0.75,0.5,N
DEBARK C1 L4,0.09,0.15,0.2,0.08,0.24,0.18,11.0,12.0,0.65,0.68,0.73,0.75,0.5,N
BOARD C2 L4,0.17,0.15,0.26,0.08,0.24,0.18,11.0,12.0,0.55,0.68,0.64,0.75,0.75,N
SAIL L4 L1,0.15,0.08,0.25,0.12,0.22,0.21,12.0,12.0,0.59,0.73,0.67,0.75,0.75,N
DEBARK C2 L1,0.07,0.08,0.16,0.12,0.2,0.21,14.0,12.0,0.73,0.64,0.79,0.67,0.5,N
