o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L2,0.5,0.03,0.01,1.52,7,9,0.5,N
SAIL L2 L1,0.33,0.05,0.01,1.37,6,8,0.5,N
BOARD C1 L1,0.33,0.05,0.0,1.38,7,20,0.33,N
SAIL L1 L4,0.33,0.02,0.01,1.34,5,8,0.33,N
DEBARK C1 L4,0.33,0.06,0.02,1.37,6,12,0.5,N
SAIL L4 L1,0.33,0.08,0.02,1.3900000000000001,5,10,0.5,N
BOARD C2 L1,0.33,0.24,0.07,1.5,4,9,0.33,N
SAIL L1 L4,0.33,0.21,0.02,1.52,4,13,0.33,N
SAIL L4 L2,0.5,1.0,0.0,2.5,0,-1,0.33,Y
SAIL L2 L3,1.0,0.0,1.0,1.0,-1,1,0.17,N
DEBARK C2 L3,1.0,0.0,1.0,1.0,-1,0,0.17,N
