o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L2,0.5,0.03,0.01,1.52,7,9,0.5,N
SAIL L2 L1,0.33,0.05,0.01,1.37,6,8,0.5,N
BOARD C1 L1,0.33,0.05,0.0,1.38,7,20,0.33,N
SAIL L1 L3,0.33,0.02,0.01,1.34,5,8,0.17,N
SAIL L3 L4,0.5,0.04,0.01,1.53,5,10,0.33,N
DEBARK C1 L4,0.33,0.07,0.0,1.4,5,17,0.5,N
SAIL L4 L1,0.33,0.1,0.0,1.4300000000000002,4,16,0.5,N
BOARD C2 L1,0.33,0.29,0.01,1.6099999999999999,3,15,0.33,N
SAIL L1 L2,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L2 L3,0.5,0.01,0.02,1.49,9,14,0.17,N
DEBARK C2 L3,1.0,0.0,1.0,1.0,-1,0,0.17,N
