o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.33,0.64,0.31,0.67,0.36,3.0,7.0,0.0,0.08,0.0,0.21,0.5,N
PICKUP PLACE_0_0 KEY_1,0.46,0.86,0.54,0.82,0.58,0.27,4.0,8.0,0.0,0.21,0.0,0.31,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.38,0.78,0.44,0.68,0.56,0.32,5.0,8.0,0.0,0.14,0.0,0.31,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.4,0.64,0.44,0.61,0.56,0.3,5.0,9.0,0.0,0.25,0.0,0.33,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.44,0.4,0.35,0.35,0.55,0.34,5.0,9.0,0.0,0.31,0.0,0.44,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.28,0.45,0.3,0.46,0.37,0.18,5.0,11.0,0.07,0.4,0.25,0.5,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.12,0.47,0.22,0.42,0.31,0.15,5.0,13.0,0.33,0.54,0.4,0.58,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.55,0.2,0.52,0.27,0.21,5.0,14.0,0.55,0.58,0.46,0.61,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.38,0.18,0.34,0.25,0.24,5.0,14.0,0.54,0.54,0.62,0.61,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.4,0.12,0.31,0.14,0.23,0.24,5.0,14.0,0.57,0.58,0.63,0.64,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.38,0.12,0.29,0.14,0.12,0.24,5.0,14.0,0.62,0.54,0.68,0.57,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.21,0.24,0.24,0.14,0.12,0.24,5.0,14.0,0.62,0.5,0.68,0.57,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.2,0.22,0.18,0.2,0.2,0.32,5.0,14.0,0.66,0.54,0.71,0.57,0.5,N
