o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.17,0.13,1.37,3,6,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.4,0.25,1.65,2,5,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.33,0.26,0.27,1.32,3,6,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.19,0.18,1.51,4,4,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.31,0.24,1.4,6,3,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.25,0.21,1.37,6,3,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.75,0.25,2.5,6,3,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.75,0.25,2.0,5,2,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.25,0.33,1.25,4,1,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
