o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.33,0.64,0.31,0.67,0.36,3.0,7.0,0.0,0.08,0.0,0.21,0.5,N
PICKUP PLACE_0_0 KEY_1,0.46,0.86,0.54,0.82,0.58,0.27,4.0,8.0,0.0,0.21,0.0,0.31,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.43,0.69,0.54,0.7,0.62,0.33,4.0,8.0,0.0,0.14,0.0,0.25,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.36,0.44,0.28,0.6,0.37,4.0,8.0,0.0,0.21,0.0,0.38,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.25,0.48,0.35,0.52,0.4,0.19,4.0,10.0,0.0,0.33,0.14,0.45,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.5,0.25,0.47,0.34,0.16,4.0,12.0,0.38,0.5,0.33,0.54,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.58,0.23,0.58,0.29,0.22,4.0,13.0,0.5,0.46,0.5,0.5,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.35,0.2,0.31,0.27,0.25,4.0,13.0,0.5,0.5,0.58,0.58,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.38,0.13,0.28,0.16,0.24,0.25,4.0,13.0,0.54,0.54,0.61,0.62,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.33,0.13,0.31,0.16,0.13,0.25,4.0,13.0,0.6,0.58,0.66,0.62,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.22,0.25,0.27,0.16,0.13,0.25,4.0,13.0,0.6,0.46,0.66,0.54,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.11,0.24,0.15,0.22,0.22,0.33,4.0,13.0,0.63,0.5,0.69,0.54,0.5,N
