o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.31,0.12,1.69,2,6,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.4,0.25,1.65,2,5,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.5,0.5,1.5,1,4,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.33,0.29,0.13,1.49,3,7,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.25,0.12,1.63,4,7,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.25,0.12,1.63,4,7,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.5,0.23,1.77,3,6,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.16,1.3399999999999999,-1,5,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.16,1.3399999999999999,-1,4,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.21,1.12,-1,3,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
