o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.75,0.62,0.79,0.67,0.36,3.0,7.0,0.0,0.08,0.0,0.21,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.5,0.71,0.64,0.7,0.71,0.36,3.0,7.0,0.0,0.08,0.0,0.14,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.4,0.48,0.31,0.67,0.41,3.0,7.0,0.0,0.08,0.0,0.21,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.29,0.52,0.4,0.58,0.45,0.21,3.0,9.0,0.0,0.25,0.0,0.39,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.11,0.53,0.28,0.51,0.37,0.18,3.0,11.0,0.29,0.45,0.25,0.5,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.61,0.25,0.62,0.31,0.24,3.0,12.0,0.5,0.41,0.45,0.46,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.38,0.22,0.33,0.29,0.27,3.0,12.0,0.45,0.45,0.55,0.54,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.4,0.14,0.3,0.17,0.26,0.27,3.0,12.0,0.5,0.5,0.58,0.58,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.33,0.14,0.32,0.17,0.13,0.27,3.0,12.0,0.57,0.45,0.63,0.5,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.27,0.29,0.17,0.13,0.27,3.0,12.0,0.57,0.41,0.63,0.5,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.25,0.15,0.24,0.23,0.35,3.0,12.0,0.61,0.45,0.67,0.5,0.5,N
