ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.24,0.37,0.11,0.43,0.29,5.0,10.0,0.12,0.11,0.4,0.45,1.25,N
SAIL L2 L1,0.43,0.18,0.27,0.11,0.45,0.28,5.0,10.0,0.12,0.17,0.4,0.45,0.75,N
BOARD C1 L1,0.33,0.18,0.25,0.16,0.35,0.21,7.0,10.0,0.33,0.28,0.36,0.5,0.75,N
SAIL L1 L3,0.26,0.17,0.32,0.1,0.26,0.19,9.0,11.0,0.44,0.5,0.56,0.55,1.25,N
DEBARK C1 L3,0.2,0.08,0.22,0.08,0.27,0.2,9.0,13.0,0.56,0.38,0.5,0.58,1.25,N
SAIL L3 L1,0.1,0.0,0.17,0.08,0.28,0.16,9.0,13.0,0.56,0.5,0.67,0.62,0.75,N
BOARD C2 L1,0.18,0.08,0.26,0.08,0.28,0.16,9.0,13.0,0.44,0.79,0.56,0.85,1.0,N
SAIL L1 L2,0.1,0.0,0.25,0.08,0.26,0.15,10.0,14.0,0.5,0.77,0.6,0.86,1.0,N
SAIL L2 L3,0.12,0.0,0.24,0.11,0.24,0.16,11.0,14.0,0.55,0.73,0.64,0.79,1.0,N
DEBARK C2 L3,0.07,0.0,0.12,0.11,0.21,0.16,13.0,14.0,0.71,0.73,0.77,0.79,1.25,N
BOARD C1 L3,0.06,0.0,0.1,0.11,0.18,0.16,15.0,14.0,0.71,0.73,0.7,0.79,1.25,N
SAIL L3 L2,0.08,-0.07,0.06,0.11,0.14,0.19,17.0,14.0,0.72,0.77,0.76,0.79,1.25,N
DEBARK C1 L2,0.0,-0.07,0.1,0.11,0.15,0.19,17.0,14.0,0.78,0.69,0.74,0.71,1.25,N
SAIL L4 L1,0.5,0.2,0.3,0.21,0.52,0.31,4.0,9.0,0.0,0.06,0.25,0.39,0.75,N
BOARD C1 L1,0.38,0.2,0.27,0.22,0.39,0.23,6.0,9.0,0.2,0.19,0.25,0.44,0.75,N
SAIL L1 L2,0.33,0.2,0.33,0.21,0.29,0.23,8.0,9.0,0.36,0.62,0.5,0.78,1.25,N
DEBARK C1 L2,0.22,0.2,0.24,0.21,0.3,0.23,8.0,9.0,0.5,0.62,0.44,0.78,1.25,N
SAIL L2 L1,0.11,0.11,0.18,0.16,0.31,0.24,8.0,9.0,0.5,0.56,0.62,0.67,0.75,N
