ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
SAIL L4 L2,0.5,0.0,0.0,1.5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,9,0.4,N
SAIL L2 L1,0.33,0.0,0.0,1.33,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,8,0.6,N
BOARD C2 L1,0.33,0.05,0.0,1.38,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,12,0.4,N
SAIL L1 L2,0.33,0.04,0.0,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,11,0.2,N
DEBARK C2 L2,0.33,0.03,0.01,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,13,0.4,N
SAIL L2 L1,0.33,0.1,0.04,1.3900000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,12,0.6,N
BOARD C1 L1,0.33,0.3,0.11,1.52,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,11,0.4,N
SAIL L1 L2,0.33,0.0,0.03,1.3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,11,0.2,N
SAIL L2 L3,0.5,0.5,0.5,1.5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,1,0.2,N
DEBARK C1 L3,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
SAIL L4 L1,0.25,0.0,0.0,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,8,0.6,N
BOARD C1 L1,0.33,0.65,0.0,1.98,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,14,0.4,N
SAIL L1 L3,0.33,0.33,0.01,1.65,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,6,0.2,N
DEBARK C1 L3,0.33,0.02,0.0,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,11,18,0.2,N
SAIL L3 L2,0.5,0.02,0.0,1.52,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,18,0.2,N
SAIL L2 L1,0.5,0.04,0.0,1.54,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,17,0.4,N
BOARD C2 L1,0.33,0.08,0.0,1.4100000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,16,0.2,N
SAIL L1 L2,0.33,0.06,0.02,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,15,0.0,N
DEBARK C2 L2,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
