o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.0,0.01,1.49,8,10,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.01,0.02,1.49,7,9,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.02,0.03,1.49,6,8,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.03,0.05,1.48,5,7,0.0,N
MOVE PLACE_2_7 PLACE_3_7,0.33,0.0,0.01,1.32,-1,6,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.0,0.0,1.33,-1,5,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.0,0.01,1.32,-1,4,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.33,0.0,0.04,1.29,-1,3,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.33,0.0,0.11,1.22,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.33,0.0,0.33,1.0,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,1.0,0.0,1.0,1.0,-1,0,0.0,N
