o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,5,9,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.05,0.04,1.3399999999999999,6,10,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.08,0.12,1.29,5,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.12,0.06,1.39,5,10,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.06,0.06,1.5,8,11,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.06,0.07,1.49,8,11,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.01,0.16,1.35,9,9,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.01,0.16,1.35,10,10,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
