o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,5,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.06,1.5,4,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.08,0.13,1.45,4,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.06,1.38,3,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.23,0.09,1.4700000000000002,2,8,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.13,0.15,1.48,5,8,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.13,0.25,1.38,5,4,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.14,0.5,1.1400000000000001,5,3,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.14,0.5,1.1400000000000001,6,2,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
