o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.29,0.33,0.5,0.38,0.46,0.37,5.0,7.0,0.0,0.08,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.25,0.3,0.38,0.39,0.44,0.33,6.0,8.0,0.2,0.21,0.08,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.33,0.38,0.33,0.45,0.33,6.0,8.0,0.0,0.29,0.0,0.38,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.25,0.2,0.43,0.29,0.5,0.36,6.0,8.0,0.0,0.36,0.0,0.44,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.1,0.28,0.33,0.22,0.37,0.31,8.0,10.0,0.14,0.44,0.25,0.5,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.29,0.26,0.26,0.31,0.29,10.0,11.0,0.44,0.4,0.35,0.45,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.04,0.15,0.23,0.23,0.29,0.29,11.0,11.0,0.45,0.45,0.5,0.55,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.53,0.17,0.47,0.23,0.26,0.29,13.0,11.0,0.5,0.4,0.58,0.45,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.13,0.28,0.17,0.26,0.25,0.33,13.0,11.0,0.54,0.35,0.62,0.45,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.13,0.27,0.17,0.26,0.25,0.38,13.0,11.0,0.5,0.4,0.54,0.45,2.0,N
