o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.29,0.33,0.5,0.38,0.46,0.37,5.0,7.0,0.0,0.08,0.0,0.21,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.77,0.36,0.68,0.45,0.29,6.0,8.0,0.0,0.14,0.08,0.19,2.0,N
PICKUP PLACE_0_0 KEY_1,0.22,0.73,0.31,0.68,0.4,0.28,7.0,9.0,0.08,0.31,0.14,0.39,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.22,0.3,0.31,0.28,0.4,0.3,7.0,9.0,0.17,0.25,0.14,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.2,0.57,0.26,0.5,0.37,0.29,8.0,10.0,0.14,0.33,0.25,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.2,0.17,0.3,0.2,0.46,0.31,8.0,10.0,0.07,0.39,0.25,0.5,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.17,0.27,0.25,0.2,0.31,0.27,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.25,0.2,0.18,0.27,0.25,12.0,13.0,0.55,0.54,0.46,0.62,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.07,0.13,0.18,0.18,0.25,0.25,13.0,13.0,0.38,0.54,0.46,0.62,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.48,0.14,0.38,0.18,0.23,0.25,15.0,13.0,0.57,0.5,0.63,0.54,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.24,0.14,0.21,0.23,0.33,15.0,13.0,0.61,0.46,0.67,0.54,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.24,0.14,0.21,0.23,0.33,15.0,13.0,0.5,0.5,0.57,0.54,2.0,N
