o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.29,0.33,0.45,0.38,0.48,0.36,5.0,7.0,0.0,0.17,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.25,0.3,0.38,0.39,0.44,0.33,6.0,8.0,0.2,0.21,0.08,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.25,0.33,0.38,0.33,0.45,0.33,6.0,8.0,0.0,0.29,0.0,0.38,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.22,0.62,0.31,0.56,0.4,0.29,7.0,9.0,0.17,0.25,0.14,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.22,0.18,0.35,0.24,0.48,0.34,7.0,9.0,0.0,0.31,0.14,0.44,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.18,0.29,0.29,0.23,0.34,0.29,9.0,11.0,0.19,0.45,0.33,0.55,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.27,0.23,0.2,0.29,0.27,11.0,12.0,0.5,0.5,0.41,0.58,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.04,0.14,0.2,0.2,0.27,0.27,12.0,12.0,0.45,0.5,0.5,0.58,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.15,0.42,0.2,0.24,0.27,14.0,12.0,0.54,0.45,0.61,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.25,0.15,0.23,0.24,0.35,14.0,12.0,0.58,0.41,0.64,0.5,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.25,0.15,0.23,0.24,0.35,14.0,12.0,0.54,0.45,0.57,0.5,2.0,N
