o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.45,0.11,0.43,0.21,5.0,10.0,0.12,0.56,0.4,0.5,0.5,N
SAIL L2 L1,0.43,0.14,0.42,0.11,0.45,0.21,5.0,10.0,0.12,0.56,0.4,0.5,0.5,N
BOARD C2 L1,0.43,0.18,0.47,0.11,0.45,0.21,5.0,10.0,0.0,0.61,0.2,0.55,0.75,N
SAIL L1 L2,0.29,0.18,0.44,0.11,0.39,0.21,6.0,10.0,0.1,0.67,0.33,0.8,0.75,N
DEBARK C2 L2,0.11,0.18,0.27,0.11,0.31,0.21,8.0,10.0,0.5,0.67,0.62,0.8,0.5,N
SAIL L2 L1,0.18,0.18,0.24,0.11,0.25,0.21,10.0,10.0,0.61,0.61,0.55,0.7,0.5,N
BOARD C1 L1,0.23,0.18,0.24,0.11,0.2,0.21,12.0,10.0,0.59,0.61,0.67,0.7,0.5,N
SAIL L1 L4,0.14,0.17,0.23,0.1,0.19,0.19,13.0,11.0,0.62,0.65,0.69,0.73,0.5,N
SAIL L4 L2,0.07,0.08,0.19,0.14,0.21,0.23,13.0,11.0,0.67,0.7,0.65,0.73,0.5,N
DEBARK C1 L2,0.07,0.08,0.19,0.14,0.21,0.23,13.0,11.0,0.71,0.6,0.77,0.64,0.5,N
