o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.2,0.45,0.3,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C2 L1,0.38,0.18,0.42,0.2,0.45,0.21,5.0,10.0,0.0,0.28,0.2,0.5,0.75,N
SAIL L1 L2,0.29,0.09,0.33,0.19,0.5,0.19,5.0,11.0,0.0,0.7,0.0,0.82,1.0,Y
SAIL L2 L3,0.22,0.0,0.36,0.14,0.35,0.18,5.0,12.0,0.25,0.55,0.43,0.58,0.75,N
SAIL L3 L4,0.2,0.0,0.21,0.14,0.31,0.18,5.0,12.0,0.36,0.73,0.5,0.83,0.75,N
DEBARK C2 L4,0.1,0.0,0.16,0.14,0.26,0.18,5.0,12.0,0.61,0.73,0.7,0.83,0.5,N
SAIL L4 L1,0.08,0.0,0.14,0.14,0.21,0.18,5.0,12.0,0.68,0.68,0.62,0.75,0.5,N
BOARD C1 L1,0.13,0.0,0.19,0.14,0.17,0.18,5.0,12.0,0.65,0.68,0.71,0.75,0.5,N
SAIL L1 L4,0.0,0.0,0.12,0.13,0.2,0.17,5.0,13.0,0.69,0.71,0.68,0.77,0.5,N
SAIL L4 L2,0.03,0.0,0.18,0.09,0.15,0.16,5.0,14.0,0.7,0.73,0.75,0.79,0.75,N
SAIL L2 L3,0.11,0.0,0.17,0.12,0.14,0.19,5.0,14.0,0.72,0.77,0.76,0.79,0.5,N
DEBARK C1 L3,0.06,0.0,0.1,0.12,0.15,0.19,5.0,14.0,0.78,0.69,0.74,0.71,0.5,N
