o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L1,0.25,0.07,0.01,1.31,3,9,0.5,N
BOARD C2 L1,0.33,0.25,0.01,1.57,6,19,0.33,N
SAIL L1 L2,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L2 L4,0.5,0.0,0.04,1.46,8,7,0.33,N
DEBARK C2 L4,0.33,0.0,0.02,1.31,10,16,0.33,N
SAIL L4 L1,0.33,0.0,0.02,1.31,9,14,0.33,N
BOARD C1 L1,0.33,0.01,0.06,1.28,8,13,0.17,N
SAIL L1 L4,0.33,0.02,0.01,1.34,6,14,0.17,N
SAIL L4 L2,0.5,0.0,0.06,1.44,13,13,0.17,N
SAIL L2 L3,1.0,0.0,1.0,1.0,-1,1,0.0,N
DEBARK C1 L3,1.0,0.0,1.0,1.0,-1,0,0.17,N
