o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.2,0.45,0.3,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C2 L1,0.38,0.18,0.42,0.2,0.45,0.21,5.0,10.0,0.0,0.28,0.2,0.5,0.75,N
SAIL L1 L3,0.29,0.17,0.38,0.1,0.39,0.19,6.0,11.0,0.1,0.5,0.33,0.55,0.75,N
SAIL L3 L4,0.33,0.09,0.23,0.1,0.35,0.19,7.0,11.0,0.25,0.7,0.43,0.82,0.75,N
DEBARK C2 L4,0.27,0.13,0.17,0.1,0.28,0.19,9.0,11.0,0.56,0.7,0.67,0.82,0.5,N
SAIL L4 L1,0.17,0.08,0.15,0.1,0.23,0.2,11.0,11.0,0.65,0.65,0.59,0.73,0.5,N
BOARD C1 L1,0.14,0.08,0.2,0.1,0.18,0.2,13.0,11.0,0.62,0.65,0.69,0.73,0.5,N
SAIL L1 L3,0.14,0.04,0.19,0.14,0.17,0.23,14.0,11.0,0.65,0.7,0.71,0.73,0.5,N
DEBARK C1 L3,0.16,0.08,0.12,0.14,0.18,0.23,14.0,11.0,0.73,0.6,0.68,0.64,0.5,N
