o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.2,0.44,0.21,0.52,0.33,4.0,9.0,0.0,0.19,0.25,0.39,0.5,N
BOARD C2 L1,0.5,0.2,0.5,0.14,0.52,0.23,4.0,9.0,0.0,0.19,0.0,0.44,0.75,N
SAIL L1 L3,0.43,0.18,0.47,0.11,0.45,0.21,5.0,10.0,0.0,0.44,0.2,0.5,0.75,N
SAIL L3 L4,0.27,0.18,0.44,0.11,0.39,0.21,6.0,10.0,0.1,0.67,0.33,0.8,0.75,N
DEBARK C2 L4,0.11,0.18,0.27,0.11,0.31,0.21,8.0,10.0,0.5,0.67,0.62,0.8,0.5,N
SAIL L4 L1,0.18,0.18,0.26,0.11,0.25,0.21,10.0,10.0,0.61,0.61,0.55,0.7,0.5,N
BOARD C1 L1,0.15,0.1,0.24,0.11,0.2,0.21,12.0,10.0,0.59,0.61,0.67,0.7,0.5,N
SAIL L1 L4,0.08,0.08,0.19,0.14,0.22,0.2,12.0,11.0,0.64,0.65,0.62,0.73,0.5,N
SAIL L4 L3,0.13,0.08,0.22,0.14,0.17,0.23,14.0,11.0,0.65,0.7,0.71,0.73,0.5,N
DEBARK C1 L3,0.07,0.08,0.18,0.14,0.18,0.23,14.0,11.0,0.73,0.6,0.68,0.64,0.5,N
